x,y,z,yaw,pitch,roll,img
44,29,33,35.352245,-10.513255,2.367401,image03454
29,31,32,-10.646493,-5.196762,-1.0924441,image03499
29,34,33,-9.039424,4.426332,0.82574797,image03459
31,26,34,-4.509739,-19.613533,3.9072857,image03480
20,37,33,-37.97997,14.712632,1.2106475,image03461
15,39,37,-53.91706,20.843126,13.541005,image03516
11,47,25,-64.559074,44.055023,-22.069752,image03456
18,35,32,-43.201767,7.9083114,-2.0028827,image03452
15,30,34,-52.7493,-6.650142,4.142816,image03455
25,34,35,-22.523012,3.5593967,7.189756,image03465
19,41,28,-39.850563,24.044315,-14.689672,image03475
24,32,43,-24.286388,-1.3080693,30.254108,image03515
33,32,31,1.3320056,-0.8954699,-4.0747943,image03451
11,39,32,-63.06466,18.32532,-0.58146924,image03462
27,34,30,-16.567146,3.2237253,-7.0472717,image03479
20,35,35,-37.223995,7.6076603,6.751179,image03498
18,29,28,-42.610115,-11.023577,-14.31211,image03505
31,30,30,-5.546138,-7.5149436,-8.338388,image03506
21,38,27,-33.768272,15.04985,-16.163359,image03472
23,31,25,-28.528963,-4.875856,-21.615587,image03562
26,34,31,-18.137405,5.534151,-3.7823303,image03532
26,36,30,-20.633818,11.418444,-6.779474,image03537
40,31,29,23.374546,-5.441945,-9.674917,image03539
23,30,31,-29.710627,-7.8959703,-4.384394,image03542
33,26,34,0.8184596,-18.9692,3.891876,image03552
50,23,27,51.340324,-28.456074,-17.90032,image03557
21,27,37,-35.603268,-16.919657,12.406842,image03550
23,33,22,-28.892752,0.9844636,-32.96736,image03566
39,29,33,19.556866,-11.091233,0.45180613,image03538
35,29,40,6.79996,-11.39857,23.84747,image03549
21,22,54,-34.486122,-31.507626,63.60536,image03520
47,31,37,43.26518,-3.231454,13.241756,image03559
27,26,38,-16.751863,-18.225916,16.963661,image03541
39,30,29,19.179241,-6.1635127,-9.533314,image03551
29,31,34,-10.642193,-4.7433515,3.7757695,image03545
41,31,35,24.599485,-5.5969076,7.428794,image03560
48,35,41,47.391605,6.56271,25.804596,image03555
20,26,31,-37.770107,-18.502651,-4.2304206,image03561
56,33,29,70.4288,1.8814228,-10.944017,image03524
35,29,41,8.403064,-11.918151,24.806194,image03548
26,28,36,-20.204144,-14.007159,9.519467,image03543
24,29,39,-24.13663,-11.779527,19.52191,image03563
27,29,30,-16.155695,-10.354784,-6.891265,image03558
41,30,36,24.783642,-6.8193264,11.191336,image03571
26,30,32,-20.545473,-7.719948,-1.3742982,image03624
39,25,34,20.857372,-21.336868,3.7333772,image03592
20,27,35,-38.936523,-15.4575615,7.968588,image03567
22,25,33,-30.84888,-23.634838,1.1786106,image03585
52,29,27,57.698406,-10.753748,-17.238462,image03582
38,27,31,16.452612,-17.48064,-3.6910927,image03573
32,32,33,-2.8808486,-1.181263,2.5265765,image03626
36,24,35,9.517751,-24.605408,8.360696,image03586
36,25,44,10.660302,-22.261866,34.84052,image03580
10,49,24,-68.21442,49.737793,-24.740866,image03597
24,26,37,-25.44786,-20.144995,12.528824,image03629
34,29,33,3.4092267,-9.274633,0.25577462,image03625
34,28,22,3.547454,-14.932568,-30.056456,image03572
39,30,35,18.204956,-6.4830594,7.563552,image03609
48,31,29,46.354534,-4.4237084,-9.187742,image03617
38,33,31,17.553076,0.349947,-3.4326632,image03614
33,23,44,2.3703198,-28.583132,33.041283,image03588
28,28,35,-13.349276,-12.588117,8.157775,image03570
45,26,29,38.68004,-20.89874,-11.081339,image03599
31,29,34,-3.4718266,-10.377793,3.4360213,image03568
25,20,33,-22.504593,-37.837692,2.4876754,image03590
28,20,44,-13.378942,-38.375538,35.60374,image03589
39,30,42,20.533438,-8.871354,29.983177,image03575
49,27,28,49.317806,-15.954538,-13.370078,image03615
28,28,35,-14.578967,-12.280226,8.497382,image03574
37,26,32,12.161977,-18.414629,-2.4313753,image03578
36,30,27,10.40628,-6.2196665,-15.905786,image03661
36,30,30,9.342867,-7.6416345,-7.3458567,image03641
32,31,28,-2.0227308,-3.22059,-12.605973,image03662
30,29,33,-8.230043,-11.1781025,0.18796237,image03638
37,28,32,13.033678,-13.722348,-1.9309282,image03633
24,35,31,-25.564842,7.2254896,-4.7820225,image03647
30,26,34,-7.4988756,-18.321545,3.9425244,image03651
19,29,32,-41.43081,-11.485412,-0.111442745,image03668
30,37,34,-6.724515,12.497036,4.931709,image03631
42,30,25,28.135736,-8.649746,-22.392927,image03666
31,32,34,-5.60622,-0.44987816,4.194448,image03637
32,33,24,-2.7680142,2.5891464,-26.417772,image03663
45,29,18,38.172634,-11.258045,-42.152092,image03636
39,28,22,20.686008,-14.157154,-31.92657,image03665
32,32,34,-0.9818255,-1.4802608,4.8588266,image03669
10,19,48,-68.6109,-41.30082,46.450596,image03664
39,26,26,18.80017,-18.561436,-20.316738,image03657
33,25,36,1.102725,-22.943855,10.542129,image03654
26,41,35,-18.473217,26.406322,7.6378746,image03652
36,31,31,11.136458,-4.2747536,-3.0049965,image03639
20,27,38,-36.49976,-15.041697,16.613644,image03640
30,30,38,-6.188582,-6.5506964,15.4344845,image03653
27,28,33,-16.949902,-12.874486,2.1359115,image03655
26,28,33,-18.291605,-13.45783,2.281208,image03644
32,31,35,-1.4791843,-5.3793845,7.5565867,image03675
30,34,24,-8.763753,5.904871,-24.174982,image03703
18,33,29,-42.97514,1.4810185,-9.320878,image03671
22,31,32,-31.286703,-3.251837,-2.2442646,image03677
22,30,37,-30.928223,-6.089727,12.306926,image03713
28,28,36,-12.369251,-12.578331,9.44078,image03670
41,25,32,26.00664,-23.568617,-1.2300917,image03692
18,28,32,-44.52723,-13.342535,-1.3815016,image03686
54,28,28,65.37898,-13.510438,-12.400855,image03691
25,27,37,-21.430752,-16.761066,12.172776,image03672
26,31,33,-18.837759,-4.44494,0.19261052,image03693
34,32,41,5.7434025,-1.0690577,26.112022,image03705
23,30,36,-29.59644,-7.548088,10.487713,image03674
28,30,36,-12.000993,-8.94204,10.966784,image03712
29,30,26,-9.22712,-6.927122,-19.53174,image03700
30,28,28,-6.183729,-14.550613,-12.1188545,image03709
14,42,29,-56.355267,27.53008,-9.342775,image03676
31,32,38,-3.9265678,-2.3346324,15.959031,image03708
31,32,31,-3.5715537,-2.2791975,-3.6211178,image03704
34,31,34,3.885643,-5.279679,5.3467116,image03673
31,28,33,-3.6998022,-12.063996,1.9018186,image03711
32,32,27,-0.30336812,-1.6662765,-15.273462,image03707
30,34,26,-8.795254,3.133555,-18.592165,image03722
32,32,37,-0.39126495,-2.6733005,12.993074,image03731
35,30,30,8.928093,-7.2996,-8.841277,image03720
33,30,36,2.9848728,-6.6003394,10.469899,image03730
33,33,35,1.3365093,2.925714,6.203554,image03727
23,26,32,-28.46121,-18.638662,-0.66508055,image03721
37,31,33,13.559775,-3.0028148,1.8121868,image03718
22,30,28,-31.693499,-8.017316,-14.8815565,image03729
43,31,33,31.02769,-5.635163,2.0239902,image03717
36,34,30,11.04971,5.7824187,-6.1218605,image03724
16,25,31,-48.56322,-23.860794,-3.9700544,image03728
29,26,30,-10.31867,-20.726217,-6.5317373,image03716
37,30,29,14.32053,-6.8531656,-11.0299835,image03732
38,29,22,15.620485,-10.877898,-31.165012,image03715
29,23,23,-11.260401,-29.54381,-29.381893,image03714
42,31,35,27.973726,-5.524371,8.336366,image03719
33,33,35,0.31105867,0.6399926,8.027102,image03726
39,33,33,20.031416,0.44203985,2.6805916,image03749
31,29,27,-5.476453,-11.10647,-16.330502,image03754
33,29,39,2.2294343,-11.026465,20.76473,image03740
34,28,40,5.3882256,-13.083726,23.457773,image03746
35,29,43,6.0360203,-11.882167,30.599602,image03742
38,29,41,16.352747,-9.935479,26.458073,image03745
36,27,41,11.368088,-15.310968,26.748468,image03744
28,30,38,-12.655412,-6.7415075,17.060774,image03738
37,30,30,12.5314,-8.850793,-8.675534,image03752
27,32,36,-16.244144,-0.8971904,9.197041,image03765
37,25,31,12.689055,-23.72568,-5.7022505,image03757
29,25,31,-9.5352545,-23.675732,-5.54249,image03747
38,31,27,16.702917,-3.6714218,-16.514585,image03756
30,30,29,-8.805859,-6.026003,-11.997848,image03750
43,30,33,30.354818,-8.638214,1.2665799,image03755
30,30,44,-7.911923,-8.766009,35.02695,image03733
30,28,35,-7.7510557,-14.934,8.759474,image03758
46,29,33,39.34138,-11.08586,0.38478494,image03762
30,28,41,-6.863807,-12.488341,25.79926,image03739
34,28,32,4.0593977,-14.134686,-1.4958004,image03764
38,27,31,17.664783,-16.044704,-4.1669393,image03753
34,28,25,3.9174647,-14.373243,-21.155249,image03751
32,27,35,-0.34685668,-15.519133,7.3570724,image03748
30,32,39,-8.447421,-1.812659,19.733221,image03736
29,32,40,-11.542817,-2.2010734,23.856035,image03761
37,29,39,12.0419445,-10.114754,19.692766,image03778
55,35,25,67.0905,8.827752,-23.27525,image03782
40,34,33,22.203745,4.335828,1.9831356,image03774
41,34,39,25.705408,3.4059477,20.527197,image03787
36,30,37,10.904564,-7.4443984,13.53873,image03780
34,30,21,5.01023,-8.163425,-35.419487,image03790
40,30,36,21.696474,-8.413856,11.484446,image03767
28,30,34,-14.117325,-7.0861673,5.2964134,image03775
37,29,35,13.507075,-11.694537,8.615591,image03779
37,28,36,14.895779,-13.944039,11.334756,image03772
39,32,19,18.943861,-2.8128285,-40.09961,image03791
36,31,37,9.035253,-4.1325464,14.044081,image03773
34,31,36,3.1058357,-5.858415,10.022969,image03766
38,29,32,15.850461,-10.863087,-0.05955402,image03776
34,30,37,3.8016376,-7.142071,14.998358,image03781
36,39,33,10.185138,20.99162,0.6166014,image03785
38,28,30,15.747245,-12.247701,-8.935695,image03768
36,28,36,11.589521,-14.80559,9.17437,image03777
36,32,20,10.183891,-2.5308926,-38.580708,image03792
25,41,28,-21.558834,26.246557,-13.340505,image03786
39,31,41,18.408604,-4.1312327,26.803633,image03788
27,35,36,-17.02727,7.29233,10.007654,image03783
37,35,36,14.138886,7.6875043,9.943585,image03784
41,29,29,25.53705,-10.742362,-11.719544,image03793
29,29,25,-9.7783575,-11.434547,-22.307354,image03799
28,33,36,-12.465119,0.6515803,11.2888975,image03814
36,28,38,9.831423,-12.397888,15.94138,image03796
25,31,41,-23.886856,-4.603248,26.435343,image03816
42,32,36,28.748041,-2.8021479,9.137387,image03813
36,32,25,10.561143,-2.6078937,-21.528624,image03797
40,33,29,23.058228,2.8642542,-9.340645,image03806
29,28,23,-10.180617,-12.061707,-28.41308,image03823
38,32,38,16.630089,-0.9880372,17.114136,image03811
29,31,33,-11.948144,-5.777655,0.46767688,image03804
35,30,42,8.884071,-7.215715,27.481049,image03817
27,27,33,-16.92174,-15.274594,1.9747782,image03821
36,30,35,10.494,-8.710371,6.757123,image03794
29,30,34,-9.128462,-8.96926,3.2880552,image03808
38,31,24,17.928562,-4.6519437,-26.588802,image03800
35,31,36,6.839401,-5.001497,11.218595,image03812
33,28,43,0.26586005,-13.381334,31.142794,image03798
41,30,21,25.927347,-6.237364,-33.217644,image03807
35,28,39,6.8524165,-13.682544,19.666834,image03822
33,30,36,2.4841669,-8.411261,11.794258,image03802
38,33,46,16.736778,0.21040139,41.503193,image03818
31,31,26,-4.995996,-5.291081,-18.511528,image03805
29,31,24,-11.746002,-5.358836,-24.408346,image03810
42,31,17,27.363657,-5.4547496,-46.152683,image03809
41,30,19,24.973932,-6.114623,-41.004387,image03836
40,34,31,22.442255,3.7211597,-3.724083,image03871
18,31,31,-44.92628,-3.5339808,-3.2953517,image03873
6,44,25,-80.09335,33.132355,-23.610487,image03872
32,28,22,-1.860329,-12.242378,-30.198357,image03828
45,29,41,38.05068,-11.002187,26.752384,image03834
54,41,42,65.082924,24.285954,28.407923,image03856
52,41,40,57.371254,25.771814,23.173748,image03870
36,30,39,10.686958,-8.96807,19.26631,image03842
24,38,39,-24.510933,16.089539,18.294573,image03869
39,26,31,20.538939,-19.179033,-5.757219,image03853
49,36,28,48.836723,10.180546,-13.7112055,image03854
34,33,38,5.869408,0.041828606,15.029102,image03833
13,21,43,-57.852562,-33.74463,30.475079,image03860
33,30,19,2.6543047,-7.1002007,-39.594055,image03832
33,27,30,1.4048688,-17.260004,-8.134963,image03852
61,37,38,85.06827,12.536085,16.188042,image03850
29,28,21,-10.705382,-13.921481,-34.788956,image03831
34,29,40,5.168908,-11.313816,23.466194,image03835
32,31,37,-2.7976942,-5.1762695,12.828069,image03827
33,29,28,2.1712472,-10.007571,-13.940673,image03866
35,29,31,7.233365,-10.606858,-4.660109,image03829
37,31,35,14.196977,-5.507242,6.512803,image03826
26,30,20,-18.696281,-7.503137,-36.47681,image03824
58,22,21,75.11549,-31.712624,-35.86068,image03851
58,23,25,76.045616,-27.123676,-21.016901,image03862
32,29,19,-0.92961264,-10.182528,-39.61881,image03897
31,27,32,-5.216331,-16.514036,-0.17304356,image03883
27,25,35,-16.409645,-22.942642,8.586077,image03892
33,40,34,2.1482441,23.19899,3.1675396,image03907
18,23,39,-43.0174,-28.069027,19.2861,image03908
6,31,35,-79.493004,-4.8071847,7.721253,image03885
28,25,36,-13.82671,-21.791615,9.999783,image03893
27,29,33,-17.8619,-9.249078,2.4065733,image03917
24,26,31,-24.474506,-20.145063,-4.0989017,image03891
44,33,38,33.621735,1.1869308,15.288924,image03886
54,32,32,64.449394,-0.37291488,-1.3875885,image03906
24,31,24,-24.193697,-5.4903316,-26.633747,image03894
41,27,33,25.130123,-16.249636,0.39758605,image03876
44,33,24,35.68954,0.37325892,-25.177256,image03888
51,24,26,54.166637,-25.238594,-20.622002,image03874
38,28,29,16.415789,-14.160947,-10.20407,image03896
11,27,39,-64.088844,-15.134291,20.128262,image03902
44,38,42,34.656677,16.168116,27.160244,image03890
21,22,37,-33.576862,-31.143152,12.981887,image03928
8,45,18,-72.49797,38.76574,-44.870502,image03968
29,28,36,-10.457103,-13.406506,10.973093,image03926
36,30,29,9.757529,-7.4070106,-10.128865,image03920
32,34,32,-0.90511775,3.6307757,-2.6546636,image03932
50,23,22,53.288475,-29.455765,-31.29899,image03933
53,33,29,60.3332,0.49911612,-9.05829,image03939
56,42,45,69.89703,29.065779,38.87337,image03976
44,30,35,35.392273,-6.13811,8.790387,image03934
39,28,30,20.83014,-12.481899,-8.082129,image03965
27,41,38,-15.933333,26.551863,16.389652,image03930
27,30,30,-15.5347805,-7.918535,-7.438131,image03966
28,39,38,-14.501057,18.737762,16.784521,image03971
8,36,29,-72.61923,11.857847,-11.878936,image03943
40,34,35,23.049623,3.7183695,7.092551,image03974
35,25,32,7.65361,-22.672161,-1.3499525,image03956
37,31,34,14.778889,-3.7786314,3.7760282,image03958
52,25,24,58.819,-21.689592,-26.699215,image03941
37,25,25,13.279408,-23.399858,-21.557251,image03963
27,28,37,-15.600845,-13.623574,12.874291,image03967
30,31,32,-6.8203287,-4.831326,-1.511435,image03946
35,25,32,6.7371144,-21.256319,-2.0476296,image03951
52,34,34,57.182026,3.695399,3.5798428,image03937
39,25,24,18.789032,-22.689495,-24.833298,image03959
36,31,23,10.617643,-4.6714892,-29.51167,image03964
5,30,36,-81.6544,-8.838451,9.354311,image03957
33,27,32,0.33083785,-15.335539,-0.3158375,image03962
34,26,32,5.7929626,-20.885176,-1.4195268,image03949
40,32,33,22.511642,-0.6788868,0.5101545,image03936
35,41,33,6.0333114,25.55203,0.95030564,image04016
50,19,23,52.50134,-39.688457,-29.094536,image04031
21,32,33,-33.986546,-2.3916423,0.6042395,image04012
32,29,34,-0.51897573,-11.953115,3.7565336,image04028
47,40,35,44.136387,23.892332,6.315978,image04040
28,29,37,-13.806372,-9.02389,14.65428,image04027
31,29,33,-4.024919,-9.943882,0.15143578,image03984
25,28,44,-23.985647,-13.062717,33.94303,image03985
34,34,32,3.4725835,4.435491,-0.5717826,image03977
25,26,43,-23.413078,-19.037785,30.56764,image04018
33,39,39,0.6088569,18.52604,20.807775,image03998
46,45,31,39.65884,36.715683,-4.0374613,image04019
41,30,35,26.05159,-7.7561245,8.233241,image04043
46,30,25,39.45933,-7.132016,-22.86745,image04078
31,31,33,-4.480429,-5.494762,0.10650519,image03980
38,31,33,15.196329,-3.8047757,1.0287945,image04007
27,25,54,-17.29723,-21.71778,63.383656,image04024
19,25,33,-41.38713,-21.78983,0.36469808,image04004
12,31,34,-60.99076,-3.809925,4.270647,image04000
30,31,32,-6.6549644,-4.4428606,-1.6403532,image04075
5,20,43,-83.669785,-38.723743,32.551834,image03996
51,33,33,54.49804,2.4724038,2.9562168,image04036
24,34,32,-25.101517,4.8020344,-1.0965172,image04059
39,29,27,18.748213,-11.156819,-15.054953,image03992
32,33,32,-2.5757422,1.1716545,-0.18784207,image04062
66,66,-1,187.78694,893.7465,-950.6278,image04157
40,33,34,23.967724,1.5706617,4.4118,image04144
33,30,35,0.24157378,-8.909409,6.177668,image04084
29,34,33,-9.20299,4.3154726,2.9548962,image04124
47,26,27,43.45907,-20.215986,-15.558613,image04088
30,27,35,-6.0614467,-17.486622,7.7116423,image04130
19,31,29,-40.739857,-5.387101,-9.182997,image04096
34,28,30,3.0431783,-12.406178,-8.401356,image04104
56,6,13,69.04185,-80.373,-59.704624,image04161
33,29,32,0.9821812,-10.79506,-0.5759963,image04085
22,33,32,-31.567665,2.9966667,-2.0593839,image04147
12,24,28,-60.91511,-25.603567,-13.596348,image04129
37,26,28,13.814333,-19.415367,-14.698222,image04087
8,25,42,-72.159225,-21.590872,27.566391,image04112
5,18,47,-81.10114,-42.225365,42.616726,image04114
54,27,26,64.14312,-17.807636,-19.28032,image04111
44,36,45,34.474762,10.650552,38.605072,image04120
36,37,32,11.500736,12.526851,-0.8923522,image04091
7,35,38,-75.19934,8.812571,16.888796,image04105
60,40,39,83.94128,23.748022,20.490345,image04098
11,37,29,-64.919815,12.6563,-10.215072,image04153
35,26,28,6.976049,-19.429745,-14.566654,image04102
38,31,32,15.466917,-5.359595,-0.174951,image04163
36,29,34,10.376488,-11.780963,5.138822,image04145
35,30,32,6.3299346,-7.071791,-0.014615658,image04092
23,35,42,-27.5633,7.1917467,27.046537,image04128
40,36,31,22.33224,9.066612,-4.528937,image04151
18,34,31,-44.92233,3.9773433,-5.6062374,image04126
19,30,28,-40.40097,-7.166917,-12.52323,image04168
33,36,32,0.41169578,11.939017,-0.09450843,image04217
11,26,39,-64.38179,-19.342415,18.716314,image04221
25,31,25,-22.62961,-4.723983,-22.443504,image04210
10,12,46,-68.29488,-61.820377,39.479683,image04216
15,27,45,-52.01156,-15.604004,37.21172,image04172
40,30,33,23.199135,-8.988684,1.1319181,image04196
51,31,28,54.3623,-5.521828,-12.313297,image04229
16,37,35,-50.44034,14.382826,6.350702,image04188
32,26,34,-1.8336706,-19.238428,5.7122226,image04190
37,28,34,12.036185,-13.952995,5.161871,image04230
34,26,31,5.6734924,-18.73612,-5.9286804,image04224
47,23,26,43.106033,-29.456936,-19.565754,image04180
28,24,31,-12.718519,-26.908573,-4.559773,image04179
56,23,23,70.930756,-27.539303,-28.143242,image04185
43,32,32,31.911613,-1.9055594,-0.3851674,image04207
33,40,32,2.5680194,21.316761,-2.1377535,image04225
36,30,30,11.163908,-7.261746,-8.573304,image04226
52,32,26,58.989517,-2.4849293,-20.42915,image04191
28,29,38,-13.35247,-10.092839,15.061706,image04182
60,12,8,81.70023,-61.58134,-72.765015,image04215
40,25,34,21.226816,-22.339537,3.5904675,image04213
30,30,31,-7.0392003,-8.863034,-4.6107407,image04184
35,35,34,7.849196,7.206524,4.4882736,image04206
50,35,33,52.736137,8.618376,2.1453571,image04201
13,27,42,-59.071976,-15.505181,28.37724,image04171
32,28,34,-1.1660365,-12.2181835,3.9047658,image04186
34,32,32,3.1310658,-1.8043661,-1.725777,image04259
39,35,34,19.679342,6.9826384,3.5973954,image04262
36,30,28,9.18704,-8.176457,-13.843232,image04242
29,32,33,-10.106612,-0.8248569,0.10993133,image04232
31,40,31,-3.7282984,21.683395,-3.1174717,image04251
36,27,28,11.226157,-15.843146,-13.636089,image04277
35,30,31,6.0605197,-8.099533,-5.6901913,image04272
38,34,32,17.941511,5.9668846,-1.8075696,image04244
51,39,36,54.188065,18.840178,9.278681,image04236
50,14,13,51.187878,-55.404675,-58.3008,image04243
35,32,30,7.394986,-1.3889221,-7.363723,image04250
34,39,33,3.9633777,19.377275,0.60223275,image04267
52,29,30,59.724445,-11.391555,-6.39745,image04240
57,42,42,74.79821,29.203728,27.374731,image04271
55,49,49,68.737686,48.48876,48.85425,image04234
40,30,37,21.121067,-7.876781,13.537118,image04276
34,27,38,3.491276,-17.97315,15.977598,image04274
22,32,31,-32.151237,-0.25858524,-4.05316,image04241
34,32,33,5.8306036,-0.39990133,1.8087965,image04273
31,35,32,-3.6910837,7.976451,-1.0005716,image04252
13,38,24,-57.4825,15.15522,-25.494318,image04257
10,40,24,-67.62029,23.38659,-26.60006,image04269
31,35,32,-4.5975947,8.982461,-0.33430952,image04248
10,39,28,-68.19544,20.855253,-14.9029045,image04275
35,35,27,7.1805754,6.756481,-16.94849,image04238
12,32,31,-60.206593,-2.096187,-5.8707657,image04316
38,30,25,15.928503,-6.1154466,-22.941208,image04279
36,29,21,9.590687,-9.613512,-33.33381,image04304
34,33,32,3.3753555,0.06168426,-0.12434761,image04283
29,28,33,-10.582695,-13.284243,0.16051614,image04301
27,37,24,-16.324627,12.28155,-25.38336,image04289
32,26,32,-2.0357935,-20.853786,-2.2511942,image04314
40,27,32,22.427595,-15.508964,-2.897368,image04312
58,31,26,76.65942,-5.4388247,-19.108658,image04299
58,17,15,76.37853,-47.332584,-51.8785,image04297
39,44,33,20.715315,34.155975,1.1577804,image04308
7,36,37,-76.46059,9.140189,14.205832,image04307
20,30,30,-37.27364,-6.32568,-7.311761,image04294
45,42,34,37.83376,29.410143,4.232319,image04286
28,38,35,-13.915527,16.0614,7.5886784,image04292
42,32,30,27.319904,-2.2518775,-8.480101,image04285
34,28,32,5.144132,-13.945883,-1.7705534,image04278
34,28,31,4.7586203,-13.746024,-4.8090267,image04298
8,38,28,-72.81775,16.81892,-12.244655,image04324
37,26,29,13.266056,-19.52972,-9.096004,image04313
46,31,27,40.519115,-3.5235033,-16.629988,image04295
13,27,29,-57.343494,-17.365305,-11.273504,image04310
13,12,55,-58.933807,-62.069767,66.61998,image04296
29,31,33,-9.227462,-5.662118,2.5351415,image04311
25,23,34,-22.332354,-27.62725,3.22774,image04342
55,29,26,68.65036,-11.600906,-20.181686,image04334
47,27,28,43.12721,-17.700634,-13.804372,image04329
31,25,35,-4.5133986,-23.524061,8.109062,image04325
10,13,51,-68.14044,-57.83522,54.948257,image04337
31,29,35,-4.035367,-11.293093,6.022806,image04358
48,37,32,45.45141,12.325584,-1.5893427,image04331
43,30,30,32.493248,-8.940119,-6.218641,image04356
24,25,35,-24.621336,-21.05887,7.0354037,image04348
10,24,41,-68.24934,-24.090857,25.869925,image04365
29,32,32,-10.320475,-0.8910765,-1.4063945,image04375
28,33,32,-13.896773,0.94261575,-0.28434563,image04328
27,27,33,-16.261791,-17.552992,2.2089944,image04345
23,32,27,-27.791975,-0.85985315,-17.976206,image04355
42,21,26,29.076696,-34.598217,-18.187819,image04333
31,29,33,-3.453383,-9.932275,0.044368457,image04344
5,28,36,-81.28844,-13.327947,10.081747,image04363
41,27,23,24.133436,-15.766742,-28.060259,image04332
60,5,4,82.00556,-82.961685,-86.48329,image04364
31,28,33,-4.2798467,-14.592848,0.5136009,image01953
27,28,26,-16.402092,-13.006387,-18.458748,image01928
26,32,43,-18.006233,-0.97351104,32.968166,image01934
51,37,28,56.19389,12.370299,-14.960995,image01945
34,44,31,5.255802,33.23691,-3.3311512,image02027
34,37,32,3.4664185,14.880744,-0.48453292,image02023
39,40,28,20.558363,22.983366,-14.845595,image02029
37,36,27,13.280349,9.143077,-16.818243,image01983
24,29,37,-24.295767,-9.568842,12.080968,image01986
43,36,32,30.673542,9.624793,-1.1688908,image01982
